,player,Span,Matches,Won,Lost,Tied,Draw,Win_by_Lost,Won_per,Lose_per
0,MS Dhoni (IND),2007-2018,332,178,120,6,15,1.48,53.61,36.14
1,RT Ponting (AUS/ICC),2002-2012,324,220,77,2,13,2.85,67.9,23.76
2,SP Fleming (NZ),1997-2007,303,128,135,2,25,0.94,42.24,44.55
3,GC Smith (Afr/ICC/SA),2003-2014,286,163,89,1,27,1.83,56.99,31.11
4,AR Border (AUS),1984-1994,271,139,89,2,38,1.56,51.29,32.84
5,A Ranatunga (SL),1988-1999,249,101,114,1,25,0.88,40.56,45.78
6,M Azharuddin (IND),1990-1999,221,104,90,2,19,1.15,47.05,40.72
7,V Kohli (IND),2013-2022,213,135,60,3,11,2.25,63.38,28.16
8,KS Williamson (NZ),2012-2024,202,105,82,2,8,1.28,51.98,40.59
9,EJG Morgan (ENG),2011-2022,198,118,67,4,0,1.76,59.59,33.83
10,SC Ganguly (Asia/IND),1999-2005,196,97,79,0,15,1.22,49.48,40.3
11,WJ Cronje (SA),1994-2000,191,126,46,1,15,2.73,65.96,24.08
12,Imran Khan (PAK),1982-1992,187,89,67,1,26,1.32,47.59,35.82
13,DPMD Jayawardene (Asia/SL),2004-2013,186,101,67,2,8,1.5,54.3,36.02
14,BC Lara (WI),1994-2007,172,69,85,0,11,0.81,40.11,49.41
15,WTS Porterfield (IRE),2008-2019,172,76,84,2,0,0.9,44.18,48.83
16,SR Waugh (AUS),1997-2004,163,108,44,3,7,2.45,66.25,26.99
17,CH Lloyd (WI),1974-1985,158,100,30,1,26,3.33,63.29,18.98
18,ST Jayasuriya (SL),1998-2003,156,84,59,2,8,1.42,53.84,37.82
19,AD Mathews (SL),2012-2021,156,68,75,1,6,0.9,43.58,48.07
20,IVA Richards (WI),1980-1991,155,94,44,0,15,2.13,60.64,28.38
21,Misbah-ul-Haq (PAK),2008-2017,151,77,60,2,11,1.28,50.99,39.73
22,DL Vettori (NZ),2004-2011,142,60,62,3,10,0.96,42.25,43.66
23,MJ Clarke (AUS),2007-2015,139,86,41,1,7,2.09,61.87,29.49
24,Babar Azam (PAK),2019-2023,134,78,44,1,4,1.77,58.2,32.83
25,Wasim Akram (PAK),1993-2000,134,78,49,2,5,1.59,58.2,36.56
26,AJ Finch (AUS),2014-2022,131,71,56,1,0,1.26,54.19,42.74
27,AN Cook (ENG),2009-2016,129,60,53,1,13,1.13,46.51,41.08
28,DJG Sammy (WI),2010-2016,128,54,59,2,10,0.91,42.18,46.09
29,JO Holder (WI),2015-2020,126,35,78,2,5,0.44,27.77,61.9
30,AB de Villiers (SA),2012-2017,124,69,49,1,0,1.4,55.64,39.51
31,SM Pollock (Afr/ICC/SA),2000-2007,124,74,39,3,7,1.89,59.67,31.45
32,Inzamam-ul-Haq (Asia/PAK),2001-2007,122,64,45,0,9,1.42,52.45,36.88
33,BB McCullum (NZ),2008-2016,121,60,47,1,9,1.27,49.58,38.84
34,Shakib Al Hasan (BAN),2009-2023,120,47,72,0,0,0.65,39.16,60
35,A Vala (PNG),2016-2024,118,44,72,1,0,0.61,37.28,61.01
36,Mashrafe Mortaza (BAN),2009-2020,117,61,53,0,0,1.15,52.13,45.29
37,MA Taylor (AUS),1992-1999,117,62,43,1,11,1.44,52.99,36.75
38,Asghar Afghan (AFG),2015-2021,115,78,32,2,0,2.43,67.82,27.82
39,F du Plessis (SA/World),2012-2020,115,70,40,1,3,1.75,60.86,34.78
40,RG Sharma (IND),2017-2024,115,85,26,1,2,3.26,73.91,22.6
41,AJ Strauss (ENG),2006-2012,115,51,47,1,15,1.08,44.34,40.86
42,MP Vaughan (ENG),2003-2008,113,59,34,2,14,1.73,52.21,30.08
43,RB Richardson (WI),1991-1996,111,57,42,3,7,1.35,51.35,37.83
44,N Kapil Dev (IND),1982-1987,108,43,40,1,22,1.07,39.81,37.03
45,ADR Campbell (ZIM),1996-2002,107,32,64,2,7,0.5,29.9,59.81
46,R Dravid (IND),2000-2007,104,50,39,0,11,1.28,48.07,37.5
47,SPD Smith (AUS),2014-2024,104,55,39,0,7,1.41,52.88,37.5
48,N Hussain (ENG),1997-2003,101,45,42,0,13,1.07,44.55,41.58
49,MG Erasmus (NAM),2019-2024,100,63,36,0,0,1.75,63,36
50,Sarfaraz Ahmed (PAK),2015-2019,100,61,36,0,1,1.69,61,36
51,SR Tendulkar (IND),1996-2000,98,27,52,1,12,0.51,27.55,53.06
52,MA Atherton (ENG),1993-2001,97,33,42,1,20,0.78,34.02,43.29
53,GS Chappell (AUS),1975-1983,97,42,38,0,14,1.1,43.29,39.17
54,Javed Miandad (PAK),1980-1993,96,40,39,1,14,1.02,41.66,40.62
55,A Balbirnie (IRE),2020-2024,94,28,60,1,0,0.46,29.78,63.82
56,Mushfiqur Rahim (BAN),2011-2017,94,26,56,0,9,0.46,27.65,59.57
57,CH Gayle (WI),2007-2010,90,26,49,1,8,0.53,28.88,54.44
58,GP Howarth (NZ),1980-1985,90,42,33,0,12,1.27,46.66,36.66
59,MD Shanaka (SL),2019-2023,89,45,41,2,0,1.09,50.56,46.06
60,HH Streak (ZIM),2000-2004,89,22,58,0,6,0.37,24.71,65.16
61,Zeeshan Maqsood (OMA),2019-2024,89,49,37,2,0,1.32,55.05,41.57
62,Habibul Bashar (BAN),2004-2007,87,30,53,0,4,0.56,34.48,60.91
63,KJ Coetzer (SCOT),2012-2022,86,46,37,2,0,1.24,53.48,43.02
64,SM Gavaskar (IND),1976-1985,84,23,29,0,30,0.79,27.38,34.52
65,GA Gooch (ENG),1988-1993,84,34,35,0,12,0.97,40.47,41.66
66,Shahid Afridi (ICC/PAK),2009-2018,83,38,43,1,0,0.88,45.78,51.8
67,KC Sangakkara (SL),2009-2012,82,45,26,0,7,1.73,54.87,31.7
68,MS Atapattu (SL),2001-2006,81,43,33,0,4,1.3,53.08,40.74
69,E Chigumbura (ZIM),2010-2016,80,20,60,0,0,0.33,25,75
70,LRD Mendis (SL),1982-1987,80,13,54,0,9,0.24,16.25,67.5
71,SO Tikolo (KENYA),2001-2011,80,28,50,0,0,0.56,35,62.5
72,Waqar Younis (PAK),1993-2003,79,47,30,0,0,1.56,59.49,37.97
73,P Utseya (ZIM),2006-2010,78,23,53,2,0,0.43,29.48,67.94
74,KJ Hughes (AUS),1979-1984,77,25,36,1,11,0.69,32.46,46.75
75,A Flower (ZIM),1993-2000,72,13,45,2,9,0.28,18.05,62.5
76,CL Hooper (WI),1997-2003,71,27,35,0,7,0.77,38.02,49.29
77,BRM Taylor (ZIM),2011-2021,71,16,55,0,0,0.29,22.53,77.46
78,JC Buttler (ENG),2015-2023,70,34,34,0,0,1,48.57,48.57
79,PW Borren (NED),2010-2017,68,31,34,1,0,0.91,45.58,50
80,KC Wessels (SA),1992-1994,68,25,33,0,8,0.75,36.76,48.52
81,Ahmed Faiz (MAS),2019-2024,67,39,25,1,0,1.56,58.2,37.31
82,TWM Latham (NZ),2017-2023,66,38,25,1,0,1.52,57.57,37.87
83,CA Walsh (WI),1994-1997,65,28,27,0,9,1.03,43.07,41.53
84,CR Ervine (ZIM),2020-2024,64,29,30,0,1,0.96,45.31,46.87
85,JE Root (ENG),2017-2022,64,27,26,0,11,1.03,42.18,40.62
86,Shoaib Malik (PAK),2007-2019,64,38,24,1,1,1.58,59.37,37.5
87,Mohammad Nabi (AFG),2013-2022,63,29,34,0,0,0.85,46.03,53.96
88,KA Pollard (WI),2013-2022,63,26,32,0,0,0.81,41.26,50.79
89,Mohammad Ashraful (BAN),2007-2009,62,10,51,0,1,0.19,16.12,82.25
90,RK Paudel (NEP),2022-2024,62,37,22,1,0,1.68,59.67,35.48
91,T Bavuma (SA),2021-2023,60,36,22,0,0,1.63,60,36.66
92,MD Crowe (NZ),1990-1993,60,23,29,0,7,0.79,38.33,48.33
93,MW Gatting (ENG),1986-1988,60,28,16,0,16,1.75,46.66,26.66
94,C Rubagumya (RWN),2021-2023,60,14,44,0,0,0.31,23.33,73.33
95,PM Seelaar (NED),2018-2022,58,23,31,2,0,0.74,39.65,53.44
96,GJ Bailey (AUS),2012-2015,57,30,23,1,0,1.3,52.63,40.35
97,LD Chandimal (SL),2013-2021,57,23,28,0,5,0.82,40.35,49.12
98,Ahmed Raza (UAE),2014-2022,56,32,23,1,0,1.39,57.14,41.07
99,JM Brearley (ENG),1977-1981,56,33,13,0,9,2.53,58.92,23.21
100,DI Gower (ENG),1982-1989,56,15,31,1,9,0.48,26.78,55.35
101,B Masaba (UGA),2021-2024,56,44,9,0,0,4.88,78.57,16.07
102,AJ Stewart (ENG),1992-2003,56,19,33,0,3,0.57,33.92,58.92
103,PD Collingwood (ENG),2007-2011,55,28,23,1,0,1.21,50.9,41.81
104,KR Rutherford (NZ),1993-1995,55,12,35,1,5,0.34,21.81,63.63
105,SA Edwards (NED),2022-2024,51,20,29,1,0,0.68,39.21,56.86
106,Muhammad Waseem (UAE),2023-2024,50,21,29,0,0,0.72,42,58
