File Name,Category,Important
add_missing_players.py,UNKNOWN / POSSIBLY UNUSED,NO
analyze_context_data.py,PITCH / CONTEXT SYSTEM,YES
analyze_context_data_v2.py,PITCH / CONTEXT SYSTEM,YES
analyze_project_scripts.py,UTILITY / DEBUG,NO
build_format_master.py,DATA MERGING,YES
build_ipl_dataset.py,UNKNOWN / POSSIBLY UNUSED,NO
build_recent_form_dataset.py,UNKNOWN / POSSIBLY UNUSED,NO
check_columns.py,UTILITY / DEBUG,NO
check_match_types.py,CORE DATA CLEANING,YES
check_merged_datasets.py,DATA MERGING,YES
clean_enrich_odi_master.py,CORE DATA CLEANING,YES
clean_odi_data.py,CORE DATA CLEANING,YES
compare_odi_columns.py,UNKNOWN / POSSIBLY UNUSED,NO
data_loader.py,UNKNOWN / POSSIBLY UNUSED,NO
debug_bowling_check.py,CORE DATA CLEANING,YES
debug_check_bowling_csv.py,CORE DATA CLEANING,YES
debug_check_oppositions.py,PITCH / CONTEXT SYSTEM,YES
debug_check_values.py,UTILITY / DEBUG,NO
debug_kaggle_columns.py,UTILITY / DEBUG,NO
debug_list_all_csvs.py,UTILITY / DEBUG,NO
debug_player_merge.py,DATA MERGING,YES
debug_unique_names.py,UTILITY / DEBUG,NO
enrich_odi_master.py,DATA MERGING,YES
fetch_player_stats.py,UNKNOWN / POSSIBLY UNUSED,NO
find_player_venues.py,PITCH / CONTEXT SYSTEM,YES
generate_pitch_dataset.py,PITCH / CONTEXT SYSTEM,YES
inspect_master_columns.py,DATA MERGING,YES
merge_kaggle_cricsheet.py,DATA MERGING,YES
merge_t20_from_batting_bowling.py,CORE DATA CLEANING,YES
merge_t20_test_datasets.py,DATA MERGING,YES
merge_test_from_batting_bowling.py,CORE DATA CLEANING,YES
ml_player_performance.py,ML PIPELINE,YES
parse_cricsheet_batting.py,CORE DATA CLEANING,YES
parse_cricsheet_batting_bowlerwise.py,CORE DATA CLEANING,YES
parse_cricsheet_bowling.py,CORE DATA CLEANING,YES
parse_cricsheet_matches.py,CORE DATA CLEANING,YES
player_stats_odi.py,UNKNOWN / POSSIBLY UNUSED,NO
project_structure_report.py,UTILITY / DEBUG,NO
query_player_recent_form.py,UNKNOWN / POSSIBLY UNUSED,NO
query_player_vs_bowlers.py,UNKNOWN / POSSIBLY UNUSED,NO
query_player_vs_team.py,UNKNOWN / POSSIBLY UNUSED,NO
query_player_vs_team_venue.py,PITCH / CONTEXT SYSTEM,YES
query_player_vs_venue.py,PITCH / CONTEXT SYSTEM,YES
scan_datasets.py,UNKNOWN / POSSIBLY UNUSED,NO
scan_format_datasets.py,UNKNOWN / POSSIBLY UNUSED,NO
scoring_engine.py,UNKNOWN / POSSIBLY UNUSED,NO
select_best_xi.py,UNKNOWN / POSSIBLY UNUSED,NO
team_selector.py,UNKNOWN / POSSIBLY UNUSED,NO
teesting.py,UNKNOWN / POSSIBLY UNUSED,NO
update_master_dataset.py,DATA MERGING,YES
